t,u,rf
6.931829999999999936e-01,4.852279999999999660e+01,2.302139999999999986e+02
7.050579999999999625e-01,4.935399999999999920e+01,2.327330000000000041e+02
7.134949999999999903e-01,4.994469999999999743e+01,2.344939999999999998e+02
7.253699999999999593e-01,5.077590000000000003e+01,2.368720000000000141e+02
7.338080000000000158e-01,5.136659999999999826e+01,2.385269999999999868e+02
7.400579999999999936e-01,5.180409999999999826e+01,2.397079999999999984e+02
7.509559999999999569e-01,5.256689999999999685e+01,2.417160000000000082e+02
7.628209999999999713e-01,5.339750000000000085e+01,2.437860000000000014e+02
7.728209999999999802e-01,5.409749999999999659e+01,2.454420000000000073e+02
7.828220000000000178e-01,5.479749999999999943e+01,2.470289999999999964e+02
7.928220000000000267e-01,5.549750000000000227e+01,2.485099999999999909e+02
8.028220000000000356e-01,5.619749999999999801e+01,2.499470000000000027e+02
8.128220000000000445e-01,5.689750000000000085e+01,2.512990000000000066e+02
8.228210000000000246e-01,5.759749999999999659e+01,2.525889999999999986e+02
8.328210000000000335e-01,5.829749999999999943e+01,2.538019999999999925e+02
8.428219999999999601e-01,5.899750000000000227e+01,2.549579999999999984e+02
8.528219999999999690e-01,5.969749999999999801e+01,2.560450000000000159e+02
8.628219999999999779e-01,6.039750000000000085e+01,2.570790000000000077e+02
8.728219999999999867e-01,6.109749999999999659e+01,2.580520000000000209e+02
8.828209999999999669e-01,6.179749999999999943e+01,2.589809999999999945e+02
8.928209999999999757e-01,6.249750000000000227e+01,2.598570000000000277e+02
9.028220000000000134e-01,6.319749999999999801e+01,2.606940000000000168e+02
9.128220000000000223e-01,6.389750000000000085e+01,2.614850000000000136e+02
9.228220000000000312e-01,6.459749999999999659e+01,2.622429999999999950e+02
9.328220000000000400e-01,6.529749999999999943e+01,2.629610000000000127e+02
9.428220000000000489e-01,6.599750000000000227e+01,2.636499999999999773e+02
9.528210000000000290e-01,6.669750000000000512e+01,2.643050000000000068e+02
9.628210000000000379e-01,6.739749999999999375e+01,2.649350000000000023e+02
9.728219999999999645e-01,6.809749999999999659e+01,2.655219999999999914e+02
9.828219999999999734e-01,6.879749999999999943e+01,2.661009999999999991e+02
9.928219999999999823e-01,6.949750000000000227e+01,2.666549999999999727e+02
1.000000000000000000e+00,7.000000000000000000e+01,2.670450000000000159e+02
